com_id;com_drugbank_id;com_pubchem_id;com_cas_id;com_inchikey;com_smiles
COM00000003;DB05105;1684;153168-05-9;KQOXLKOJHVFTRN-UHFFFAOYSA-N;CC1=NOC(CCCOC2=C(C)C=C(C=C2C)C2=NOC(=N2)C(F)(F)F)=C1
COM00000004;DB05104;179340;153205-46-0;JHLHNYVMZCADTC-LOSJGSFVSA-N;CN([C@H](CN1CC[C@H](O)C1)C1=CC=CC=C1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
COM00000006;DB05102;6440352;223537-30-2;CAYJBRBGZBCZKO-BHGBQCOSSA-N;CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@H](C(C)C)NC(=O)C1=NOC(C)=C1)CC1=CC=C(F)C=C1
COM00000016;DB01955;8064;110-63-4;WERYXYBDKMZEQL-UHFFFAOYSA-N;OCCCCO
COM00000018;DB01957;7933;108-43-0;HORNXRXVQWOLPJ-UHFFFAOYSA-N;OC1=CC=CC(Cl)=C1
COM00000020;DB01483;2294;57-44-3;FTOAOBMCPZCFFF-UHFFFAOYSA-N;CCC1(CC)C(=O)NC(=O)NC1=O
COM00000033;DB00579;4020;22232-71-9;ZPXSCAKFGYXMGA-UHFFFAOYSA-N;OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1
COM00000040;DB00575;2803;4205-90-7;GJSURZIOUXUGAL-UHFFFAOYSA-N;ClC1=CC=CC(Cl)=C1NC1=NCCN1
COM00000041;DB00574;3337;458-24-2;DBGIVFWFUFKIQN-UHFFFAOYSA-N;CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
COM00000046;DB03880;5362422;130370-60-4;XFILPEOLDIKJHX-QYZOEREBSA-N;[H][C@@](CC1=CC=CC=C1)(NC(=O)[C@]([H])(CC(C)C)[C@]([H])(CSC1=CC=CS1)C(=O)NO)C(=O)NC
COM00000048;DB03882;242332;571-20-0;CBMYJHIOYJEBSB-YSZCXEEOSA-N;[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
COM00000056;DB04214;378;330-13-2;XZKIHKMTEMTJQX-UHFFFAOYSA-N;OP(O)(=O)OC1=CC=C(C=C1)[N+]([O-])=O
COM00000059;DB04217;175496;73537-09-4;DSUAJFIEKRKPEE-VKHMYHEASA-N;N[C@@H](C#C)C(O)=O
COM00000064;DB00686;37720;37300-21-3;FCCNSUIJIOOXEZ-SJYYZXOBSA-N;O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O
COM00000069;DB05107;71613;28507-02-0;CWVMWSZEMZOUPC-JUAXIXHSSA-N;[H][C@@]12C[C@@H](Br)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C
